Full Name,Sheet Name,Form Name,Gen,SubLegendary,Legendary,Mythical,Species,Type 1,Type 2,Height (m),Weight (kg),Ability 1,Ability 2,Hidden Ability,BST,HP,ATK,DEF,SP. ATK,SP. DEF,SPD,catchRate,baseFriendship,baseExp,growthRate,MALE%,Clean Name,Starter,hasVariants,dex #,starterCost,starterDex
BUTTERFREE (G-Max),BUTTERFREE,G-Max,,,,,,BUG,FLYING,17,999.9,COMPOUND_EYES,NONE,COMPOUND_EYES,495,80,40,75,120,95,85,45,50,198,,,Butterfree,CATERPIE,TRUE,12,,10
WEEDLE,WEEDLE,,1,FALSE,FALSE,FALSE,Hairy Bug Pokémon,BUG,POISON,0.3,3.2,SHIELD_DUST,NONE,RUN_AWAY,195,40,35,30,20,20,50,255,70,39,MEDIUM_FAST,50,Weedle,WEEDLE,FALSE,13,1,13
KAKUNA,KAKUNA,,1,FALSE,FALSE,FALSE,Cocoon Pokémon,BUG,POISON,0.6,10,SHED_SKIN,NONE,SHED_SKIN,205,45,25,50,25,25,35,120,70,72,MEDIUM_FAST,50,Kakuna,WEEDLE,FALSE,14,,13
BEEDRILL,BEEDRILL,,1,FALSE,FALSE,FALSE,Poison Bee Pokémon,BUG,POISON,1,29.5,SWARM,NONE,SNIPER,395,65,90,40,45,80,75,45,70,198,MEDIUM_FAST,50,Beedrill,WEEDLE,FALSE,15,,13
BEEDRILL (Normal),BEEDRILL,Normal,,,,,,BUG,POISON,1,29.5,SWARM,NONE,SNIPER,395,65,90,40,45,80,75,45,70,198,,,Beedrill,WEEDLE,FALSE,15,,13
BEEDRILL (Mega),BEEDRILL,Mega,,,,,,BUG,POISON,1.4,40.5,ADAPTABILITY,NONE,ADAPTABILITY,495,65,150,40,15,80,145,45,70,198,,,Beedrill,WEEDLE,FALSE,15,,13
PIDGEY,PIDGEY,,1,FALSE,FALSE,FALSE,Tiny Bird Pokémon,NORMAL,FLYING,0.3,1.8,KEEN_EYE,TANGLED_FEET,BIG_PECKS,251,40,45,40,35,35,56,255,70,50,MEDIUM_SLOW,50,Pidgey,PIDGEY,FALSE,16,1,16
PIDGEOTTO,PIDGEOTTO,,1,FALSE,FALSE,FALSE,Bird Pokémon,NORMAL,FLYING,1.1,30,KEEN_EYE,TANGLED_FEET,BIG_PECKS,349,63,60,55,50,50,71,120,70,122,MEDIUM_SLOW,50,Pidgeotto,PIDGEY,FALSE,17,,16
PIDGEOT,PIDGEOT,,1,FALSE,FALSE,FALSE,Bird Pokémon,NORMAL,FLYING,1.5,39.5,KEEN_EYE,TANGLED_FEET,BIG_PECKS,479,83,80,75,70,70,101,45,70,240,MEDIUM_SLOW,50,Pidgeot,PIDGEY,FALSE,18,,16
PIDGEOT (Normal),PIDGEOT,Normal,,,,,,NORMAL,FLYING,1.5,39.5,KEEN_EYE,TANGLED_FEET,BIG_PECKS,479,83,80,75,70,70,101,45,70,240,,,Pidgeot,PIDGEY,FALSE,18,,16
PIDGEOT (Mega),PIDGEOT,Mega,,,,,,NORMAL,FLYING,2.2,50.5,NO_GUARD,NO_GUARD,NO_GUARD,579,83,80,80,135,80,121,45,70,240,,,Pidgeot,PIDGEY,FALSE,18,,16
RATTATA,RATTATA,,1,FALSE,FALSE,FALSE,Mouse Pokémon,NORMAL,,0.3,3.5,RUN_AWAY,GUTS,HUSTLE,253,30,56,35,25,35,72,255,70,51,MEDIUM_FAST,50,Rattata,RATTATA,TRUE,19,1,19
RATICATE,RATICATE,,1,FALSE,FALSE,FALSE,Mouse Pokémon,NORMAL,,0.7,18.5,RUN_AWAY,GUTS,HUSTLE,413,55,81,60,50,70,97,127,70,145,MEDIUM_FAST,50,Raticate,RATTATA,TRUE,20,,19
SPEAROW,SPEAROW,,1,FALSE,FALSE,FALSE,Tiny Bird Pokémon,NORMAL,FLYING,0.3,2,KEEN_EYE,NONE,SNIPER,262,40,60,30,31,31,70,255,70,52,MEDIUM_FAST,50,Spearow,SPEAROW,TRUE,21,1,21
FEAROW,FEAROW,,1,FALSE,FALSE,FALSE,Beak Pokémon,NORMAL,FLYING,1.2,38,KEEN_EYE,NONE,SNIPER,442,65,90,65,61,61,100,90,70,155,MEDIUM_FAST,50,Fearow,SPEAROW,TRUE,22,,21
EKANS,EKANS,,1,FALSE,FALSE,FALSE,Snake Pokémon,POISON,,2,6.9,INTIMIDATE,SHED_SKIN,UNNERVE,288,35,60,44,40,54,55,255,70,58,MEDIUM_FAST,50,Ekans,EKANS,TRUE,23,2,23
ARBOK,ARBOK,,1,FALSE,FALSE,FALSE,Cobra Pokémon,POISON,,3.5,65,INTIMIDATE,SHED_SKIN,UNNERVE,448,60,95,69,65,79,80,90,70,157,MEDIUM_FAST,50,Arbok,EKANS,TRUE,24,,23
PIKACHU,PIKACHU,,1,FALSE,FALSE,FALSE,Mouse Pokémon,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,320,35,55,40,50,50,90,190,50,112,MEDIUM_FAST,50,Pikachu,PICHU,TRUE,25,,172
PIKACHU (Normal),PIKACHU,Normal,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,320,35,55,40,50,50,90,190,50,112,,,Pikachu,PICHU,TRUE,25,,172
PIKACHU (Partner),PIKACHU,Partner,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,430,45,80,50,75,60,120,190,50,112,,,Pikachu,PICHU,TRUE,25,,172
PIKACHU (Cosplay),PIKACHU,Cosplay,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,430,45,80,50,75,60,120,190,50,112,,,Pikachu,PIKACHU,TRUE,25,4,25
PIKACHU (Cool Cosplay),PIKACHU,Cool Cosplay,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,430,45,80,50,75,60,120,190,50,112,,,Pikachu,PIKACHU,TRUE,25,4,25
PIKACHU (Beauty Cosplay),PIKACHU,Beauty Cosplay,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,430,45,80,50,75,60,120,190,50,112,,,Pikachu,PIKACHU,TRUE,25,4,25
PIKACHU (Cute Cosplay),PIKACHU,Cute Cosplay,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,430,45,80,50,75,60,120,190,50,112,,,Pikachu,PIKACHU,TRUE,25,4,25
PIKACHU (Smart Cosplay),PIKACHU,Smart Cosplay,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,430,45,80,50,75,60,120,190,50,112,,,Pikachu,PIKACHU,TRUE,25,4,25
PIKACHU (Tough Cosplay),PIKACHU,Tough Cosplay,,,,,,ELECTRIC,,0.4,6,STATIC,NONE,LIGHTNING_ROD,430,45,80,50,75,60,120,190,50,112,,,Pikachu,PIKACHU,TRUE,25,4,25
PIKACHU (G-Max),PIKACHU,G-Max,,,,,,ELECTRIC,,21,999.9,LIGHTNING_ROD,NONE,LIGHTNING_ROD,530,125,95,60,90,70,90,190,50,112,,,Pikachu,PICHU,TRUE,25,,172
RAICHU,RAICHU,,1,FALSE,FALSE,FALSE,Mouse Pokémon,ELECTRIC,,0.8,30,STATIC,NONE,LIGHTNING_ROD,485,60,90,55,90,80,110,75,50,243,MEDIUM_FAST,50,Raichu,PICHU,TRUE,26,,172
SANDSHREW,SANDSHREW,,1,FALSE,FALSE,FALSE,Mouse Pokémon,GROUND,,0.6,12,SAND_VEIL,NONE,SAND_RUSH,300,50,75,85,20,30,40,255,50,60,MEDIUM_FAST,50,Sandshrew,SANDSHREW,FALSE,27,2,27
SANDSLASH,SANDSLASH,,1,FALSE,FALSE,FALSE,Mouse Pokémon,GROUND,,1,29.5,SAND_VEIL,NONE,SAND_RUSH,450,75,100,110,45,55,65,90,50,158,MEDIUM_FAST,50,Sandslash,SANDSHREW,FALSE,28,,27
NIDORAN_F,NIDORAN_F,,1,FALSE,FALSE,FALSE,Poison Pin Pokémon,POISON,,0.4,7,POISON_POINT,RIVALRY,HUSTLE,275,55,47,52,40,40,41,235,50,55,MEDIUM_SLOW,0,Nidoran♀,NIDORAN_F,TRUE,29,3,29
NIDORINA,NIDORINA,,1,FALSE,FALSE,FALSE,Poison Pin Pokémon,POISON,,0.8,20,POISON_POINT,RIVALRY,HUSTLE,365,70,62,67,55,55,56,120,50,128,MEDIUM_SLOW,0,Nidorina,NIDORAN_F,TRUE,30,,29
NIDOQUEEN,NIDOQUEEN,,1,FALSE,FALSE,FALSE,Drill Pokémon,POISON,GROUND,1.3,60,POISON_POINT,RIVALRY,SHEER_FORCE,505,90,92,87,75,85,76,45,50,253,MEDIUM_SLOW,0,Nidoqueen,NIDORAN_F,TRUE,31,,29
NIDORAN_M,NIDORAN_M,,1,FALSE,FALSE,FALSE,Poison Pin Pokémon,POISON,,0.5,9,POISON_POINT,RIVALRY,HUSTLE,273,46,57,40,40,40,50,235,50,55,MEDIUM_SLOW,100,Nidoran♂,NIDORAN_M,TRUE,32,3,32
NIDORINO,NIDORINO,,1,FALSE,FALSE,FALSE,Poison Pin Pokémon,POISON,,0.9,19.5,POISON_POINT,RIVALRY,HUSTLE,365,61,72,57,55,55,65,120,50,128,MEDIUM_SLOW,100,Nidorino,NIDORAN_M,TRUE,33,,32
NIDOKING,NIDOKING,,1,FALSE,FALSE,FALSE,Drill Pokémon,POISON,GROUND,1.4,62,POISON_POINT,RIVALRY,SHEER_FORCE,505,81,102,77,85,75,85,45,50,253,MEDIUM_SLOW,100,Nidoking,NIDORAN_M,TRUE,34,,32
CLEFAIRY,CLEFAIRY,,1,FALSE,FALSE,FALSE,Fairy Pokémon,FAIRY,,0.6,7.5,CUTE_CHARM,MAGIC_GUARD,FRIEND_GUARD,323,70,45,48,60,65,35,150,140,113,FAST,25,Clefairy,CLEFFA,TRUE,35,,173
CLEFABLE,CLEFABLE,,1,FALSE,FALSE,FALSE,Fairy Pokémon,FAIRY,,1.3,40,CUTE_CHARM,MAGIC_GUARD,UNAWARE,483,95,70,73,95,90,60,25,140,242,FAST,25,Clefable,CLEFFA,TRUE,36,,173
VULPIX,VULPIX,,1,FALSE,FALSE,FALSE,Fox Pokémon,FIRE,,0.6,9.9,FLASH_FIRE,NONE,DROUGHT,299,38,41,40,50,65,65,190,50,60,MEDIUM_FAST,25,Vulpix,VULPIX,TRUE,37,3,37
NINETALES,NINETALES,,1,FALSE,FALSE,FALSE,Fox Pokémon,FIRE,,1.1,19.9,FLASH_FIRE,NONE,DROUGHT,505,73,76,75,81,100,100,75,50,177,MEDIUM_FAST,25,Ninetales,VULPIX,TRUE,38,,37
JIGGLYPUFF,JIGGLYPUFF,,1,FALSE,FALSE,FALSE,Balloon Pokémon,NORMAL,FAIRY,0.5,5.5,CUTE_CHARM,COMPETITIVE,FRIEND_GUARD,270,115,45,20,45,25,20,170,50,95,FAST,25,Jigglypuff,IGGLYBUFF,TRUE,39,,174
WIGGLYTUFF,WIGGLYTUFF,,1,FALSE,FALSE,FALSE,Balloon Pokémon,NORMAL,FAIRY,1,12,CUTE_CHARM,COMPETITIVE,FRISK,435,140,70,45,85,50,45,50,50,218,FAST,25,Wigglytuff,IGGLYBUFF,TRUE,40,,174
ZUBAT,ZUBAT,,1,FALSE,FALSE,FALSE,Bat Pokémon,POISON,FLYING,0.8,7.5,INNER_FOCUS,NONE,INFILTRATOR,245,40,45,35,30,40,55,255,50,49,MEDIUM_FAST,50,Zubat,ZUBAT,TRUE,41,3,41
GOLBAT,GOLBAT,,1,FALSE,FALSE,FALSE,Bat Pokémon,POISON,FLYING,1.6,55,INNER_FOCUS,NONE,INFILTRATOR,455,75,80,70,65,75,90,90,50,159,MEDIUM_FAST,50,Golbat,ZUBAT,TRUE,42,,41
ODDISH,ODDISH,,1,FALSE,FALSE,FALSE,Weed Pokémon,GRASS,POISON,0.5,5.4,CHLOROPHYLL,NONE,RUN_AWAY,320,45,50,55,75,65,30,255,50,64,MEDIUM_SLOW,50,Oddish,ODDISH,TRUE,43,3,43
GLOOM,GLOOM,,1,FALSE,FALSE,FALSE,Weed Pokémon,GRASS,POISON,0.8,8.6,CHLOROPHYLL,NONE,STENCH,395,60,65,70,85,75,40,120,50,138,MEDIUM_SLOW,50,Gloom,ODDISH,TRUE,44,,43
VILEPLUME,VILEPLUME,,1,FALSE,FALSE,FALSE,Flower Pokémon,GRASS,POISON,1.2,18.6,CHLOROPHYLL,NONE,EFFECT_SPORE,490,75,80,85,110,90,50,45,50,245,MEDIUM_SLOW,50,Vileplume,ODDISH,TRUE,45,,43
PARAS,PARAS,,1,FALSE,FALSE,FALSE,Mushroom Pokémon,BUG,GRASS,0.3,5.4,EFFECT_SPORE,DRY_SKIN,DAMP,285,35,70,55,45,55,25,190,70,57,MEDIUM_FAST,50,Paras,PARAS,TRUE,46,2,46
PARASECT,PARASECT,,1,FALSE,FALSE,FALSE,Mushroom Pokémon,BUG,GRASS,1,29.5,EFFECT_SPORE,DRY_SKIN,DAMP,405,60,95,80,60,80,30,75,70,142,MEDIUM_FAST,50,Parasect,PARAS,TRUE,47,,46
VENONAT,VENONAT,,1,FALSE,FALSE,FALSE,Insect Pokémon,BUG,POISON,1,30,COMPOUND_EYES,TINTED_LENS,RUN_AWAY,305,60,55,50,40,55,45,190,70,61,MEDIUM_FAST,50,Venonat,VENONAT,FALSE,48,2,48
VENOMOTH,VENOMOTH,,1,FALSE,FALSE,FALSE,Poison Moth Pokémon,BUG,POISON,1.5,12.5,SHIELD_DUST,TINTED_LENS,WONDER_SKIN,450,70,65,60,90,75,90,75,70,158,MEDIUM_FAST,50,Venomoth,VENONAT,FALSE,49,,48
DIGLETT,DIGLETT,,1,FALSE,FALSE,FALSE,Mole Pokémon,GROUND,,0.2,0.8,SAND_VEIL,ARENA_TRAP,SAND_FORCE,265,10,55,25,35,45,95,255,50,53,MEDIUM_FAST,50,Diglett,DIGLETT,TRUE,50,2,50
DUGTRIO,DUGTRIO,,1,FALSE,FALSE,FALSE,Mole Pokémon,GROUND,,0.7,33.3,SAND_VEIL,ARENA_TRAP,SAND_FORCE,425,35,100,50,50,70,120,50,50,149,MEDIUM_FAST,50,Dugtrio,DIGLETT,TRUE,51,,50
MEOWTH,MEOWTH,,1,FALSE,FALSE,FALSE,Scratch Cat Pokémon,NORMAL,,0.4,4.2,PICKUP,TECHNICIAN,UNNERVE,290,40,45,35,40,40,90,255,50,58,MEDIUM_FAST,50,Meowth,MEOWTH,TRUE,52,3,52
MEOWTH (Normal),MEOWTH,Normal,,,,,,NORMAL,,0.4,4.2,PICKUP,TECHNICIAN,UNNERVE,290,40,45,35,40,40,90,255,50,58,,,Meowth,MEOWTH,TRUE,52,3,52
MEOWTH (G-Max),MEOWTH,G-Max,,,,,,NORMAL,,33,999.9,TECHNICIAN,TECHNICIAN,TECHNICIAN,540,115,110,65,65,70,115,255,50,58,,,Meowth,MEOWTH,TRUE,52,3,52
PERSIAN,PERSIAN,,1,FALSE,FALSE,FALSE,Classy Cat Pokémon,NORMAL,,1,32,LIMBER,TECHNICIAN,UNNERVE,440,65,70,60,65,65,115,90,50,154,MEDIUM_FAST,50,Persian,MEOWTH,TRUE,53,,52
PSYDUCK,PSYDUCK,,1,FALSE,FALSE,FALSE,Duck Pokémon,WATER,,0.8,19.6,DAMP,CLOUD_NINE,SWIFT_SWIM,320,50,52,48,65,50,55,190,50,64,MEDIUM_FAST,50,Psyduck,PSYDUCK,TRUE,54,2,54
GOLDUCK,GOLDUCK,,1,FALSE,FALSE,FALSE,Duck Pokémon,WATER,,1.7,76.6,DAMP,CLOUD_NINE,SWIFT_SWIM,500,80,82,78,95,80,85,75,50,175,MEDIUM_FAST,50,Golduck,PSYDUCK,TRUE,55,,54
MANKEY,MANKEY,,1,FALSE,FALSE,FALSE,Pig Monkey Pokémon,FIGHTING,,0.5,28,VITAL_SPIRIT,ANGER_POINT,DEFIANT,305,40,80,35,35,45,70,190,70,61,MEDIUM_FAST,50,Mankey,MANKEY,TRUE,56,4,56
PRIMEAPE,PRIMEAPE,,1,FALSE,FALSE,FALSE,Pig Monkey Pokémon,FIGHTING,,1,32,VITAL_SPIRIT,ANGER_POINT,DEFIANT,455,65,105,60,60,70,95,75,70,159,MEDIUM_FAST,50,Primeape,MANKEY,TRUE,57,,56
GROWLITHE,GROWLITHE,,1,FALSE,FALSE,FALSE,Puppy Pokémon,FIRE,,0.7,19,INTIMIDATE,FLASH_FIRE,JUSTIFIED,350,55,70,45,70,50,60,190,50,70,SLOW,75,Growlithe,GROWLITHE,FALSE,58,4,58
ARCANINE,ARCANINE,,1,FALSE,FALSE,FALSE,Legendary Pokémon,FIRE,,1.9,155,INTIMIDATE,FLASH_FIRE,JUSTIFIED,555,90,110,80,100,80,95,75,50,194,SLOW,75,Arcanine,GROWLITHE,FALSE,59,,58
POLIWAG,POLIWAG,,1,FALSE,FALSE,FALSE,Tadpole Pokémon,WATER,,0.6,12.4,WATER_ABSORB,DAMP,SWIFT_SWIM,300,40,50,40,40,40,90,255,50,60,MEDIUM_SLOW,50,Poliwag,POLIWAG,FALSE,60,2,60
POLIWHIRL,POLIWHIRL,,1,FALSE,FALSE,FALSE,Tadpole Pokémon,WATER,,1,20,WATER_ABSORB,DAMP,SWIFT_SWIM,385,65,65,65,50,50,90,120,50,135,MEDIUM_SLOW,50,Poliwhirl,POLIWAG,FALSE,61,,60
POLIWRATH,POLIWRATH,,1,FALSE,FALSE,FALSE,Tadpole Pokémon,WATER,FIGHTING,1.3,54,WATER_ABSORB,DAMP,SWIFT_SWIM,510,90,95,95,70,90,70,45,50,255,MEDIUM_SLOW,50,Poliwrath,POLIWAG,FALSE,62,,60
ABRA,ABRA,,1,FALSE,FALSE,FALSE,Psi Pokémon,PSYCHIC,,0.9,19.5,SYNCHRONIZE,INNER_FOCUS,MAGIC_GUARD,310,25,20,15,105,55,90,200,50,62,MEDIUM_SLOW,75,Abra,ABRA,FALSE,63,4,63
KADABRA,KADABRA,,1,FALSE,FALSE,FALSE,Psi Pokémon,PSYCHIC,,1.3,56.5,SYNCHRONIZE,INNER_FOCUS,MAGIC_GUARD,400,40,35,30,120,70,105,100,50,140,MEDIUM_SLOW,75,Kadabra,ABRA,FALSE,64,,63
ALAKAZAM,ALAKAZAM,,1,FALSE,FALSE,FALSE,Psi Pokémon,PSYCHIC,,1.5,48,SYNCHRONIZE,INNER_FOCUS,MAGIC_GUARD,500,55,50,45,135,95,120,50,50,250,MEDIUM_SLOW,75,Alakazam,ABRA,FALSE,65,,63
ALAKAZAM (Normal),ALAKAZAM,Normal,,,,,,PSYCHIC,,1.5,48,SYNCHRONIZE,INNER_FOCUS,MAGIC_GUARD,500,55,50,45,135,95,120,50,50,250,,,Alakazam,ABRA,FALSE,65,,63
ALAKAZAM (Mega),ALAKAZAM,Mega,,,,,,PSYCHIC,,1.2,48,TRACE,TRACE,TRACE,600,55,50,65,175,105,150,50,50,250,,,Alakazam,ABRA,FALSE,65,,63
MACHOP,MACHOP,,1,FALSE,FALSE,FALSE,Superpower Pokémon,FIGHTING,,0.8,19.5,GUTS,NO_GUARD,STEADFAST,305,70,80,50,35,35,35,180,50,61,MEDIUM_SLOW,75,Machop,MACHOP,FALSE,66,3,66
MACHOKE,MACHOKE,,1,FALSE,FALSE,FALSE,Superpower Pokémon,FIGHTING,,1.5,70.5,GUTS,NO_GUARD,STEADFAST,405,80,100,70,50,60,45,90,50,142,MEDIUM_SLOW,75,Machoke,MACHOP,FALSE,67,,66
MACHAMP,MACHAMP,,1,FALSE,FALSE,FALSE,Superpower Pokémon,FIGHTING,,1.6,130,GUTS,NO_GUARD,STEADFAST,505,90,130,80,65,85,55,45,50,253,MEDIUM_SLOW,75,Machamp,MACHOP,FALSE,68,,66
MACHAMP (Normal),MACHAMP,Normal,,,,,,FIGHTING,,1.6,130,GUTS,NO_GUARD,STEADFAST,505,90,130,80,65,85,55,45,50,253,,,Machamp,MACHOP,FALSE,68,,66
MACHAMP (G-Max),MACHAMP,G-Max,,,,,,FIGHTING,,25,999.9,GUTS,GUTS,GUTS,605,120,170,95,80,85,55,45,50,253,,,Machamp,MACHOP,FALSE,68,,66
BELLSPROUT,BELLSPROUT,,1,FALSE,FALSE,FALSE,Flower Pokémon,GRASS,POISON,0.7,4,CHLOROPHYLL,NONE,GLUTTONY,300,50,75,35,70,30,40,255,70,60,MEDIUM_SLOW,50,Bellsprout,BELLSPROUT,TRUE,69,2,69
WEEPINBELL,WEEPINBELL,,1,FALSE,FALSE,FALSE,Flycatcher Pokémon,GRASS,POISON,1,6.4,CHLOROPHYLL,NONE,GLUTTONY,390,65,90,50,85,45,55,120,70,137,MEDIUM_SLOW,50,Weepinbell,BELLSPROUT,TRUE,70,,69
VICTREEBEL,VICTREEBEL,,1,FALSE,FALSE,FALSE,Flycatcher Pokémon,GRASS,POISON,1.7,15.5,CHLOROPHYLL,NONE,GLUTTONY,490,80,105,65,100,70,70,45,70,245,MEDIUM_SLOW,50,Victreebel,BELLSPROUT,TRUE,71,,69
TENTACOOL,TENTACOOL,,1,FALSE,FALSE,FALSE,Jellyfish Pokémon,WATER,POISON,0.9,45.5,CLEAR_BODY,LIQUID_OOZE,RAIN_DISH,335,40,40,35,50,100,70,190,50,67,SLOW,50,Tentacool,TENTACOOL,FALSE,72,3,72
TENTACRUEL,TENTACRUEL,,1,FALSE,FALSE,FALSE,Jellyfish Pokémon,WATER,POISON,1.6,55,CLEAR_BODY,LIQUID_OOZE,RAIN_DISH,515,80,70,65,80,120,100,60,50,180,SLOW,50,Tentacruel,TENTACOOL,FALSE,73,,72
